topic,letters,prompt,answer
FRIENDS,IPTY,COMPASSION,PITY
FRIENDS,CONRS,DISDAIN,SCORN
FRIENDS,EELSTT,COMPROMISE,SETTLE
FRIENDS,ACCDOR,AGREEMENT,ACCORD
FRIENDS,DEFILNRY,BENEVOLENT,FRIENDLY
FRIENDS,ENNOOPPT,ANTAGONIST,OPPONENT
FRIENDS,AABEFFL,AMICABLE,AFFABLE
FRIENDS,AOPPRRT,EMPATHY,RAPPORT
FRIENDS,DEINSTUU,INCOMPATIBLE,UNSUITED
,EDN,ABOLISH,END
,AHPPY,JOYOUS,HAPPY
,LOSW,SLUGGISH,SLOW
,INOSY,BOISTEROUS,NOISY
,AEGRV,SOLEMN,GRAVE
,IKNST,REEK,STINK
,ILLSY,FRIVOLOUS,SILLY
,ADIOV,SHIRK,AVOID
,DDENSU,PRECIPITATE,SUDDEN
,AACRTTT,LURE,ATTRACT
,CEENRT,MIDDLE,CENTER
,EIORSSU,SOLEMN,SERIOUS
,EEFHRRS,REJUVENATE,REFRESH
,AEERRSTU,CHERISH,TREASURE
,EFGHINRT,INTIMIDATE,FRIGHTEN
,AALOPPRV,CONSENT,APPROVAL
,BEMORS,SOLEMN,SOMBER
,BCDEEILR,PLAUSIBLE,CREDIBLE
,EILLKNYU,IMPROBABLE,UNLIKELY
